orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipperid,freight,productid,unitprice,quantity,discount,companyname,contactname,contacttitle,customercity,customercountry,employeename,title,employeecity,employeecountry,reportsto,categoryid,categoryname,description,productname,quantityperunit,productunitprice,discontinued,shippercompany
10407,OTTIK,2,1/7/2014,2/4/2014,1/30/2014,2,91.48,71,17.2,15,0,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,KÃ¶ln,Germany,Andrew Fuller,Vice President Sales,New York,USA,NULL,4,Dairy Products,Cheeses,Flotemysost,10 - 500 g pkgs.,21.5,0,United Package
10408,FOLIG,8,1/8/2014,2/5/2014,1/14/2014,1,11.26,37,20.8,10,0,Folies gourmandes,Martine RancÃ©,Assistant Sales Agent,Lille,France,Laura Callahan,Sales Manager,New York,USA,2,8,Seafood,Seaweed and fish,Gravad lax,12 - 500 g pkgs.,26,0,Speedy Express
10408,FOLIG,8,1/8/2014,2/5/2014,1/14/2014,1,11.26,54,5.9,6,0,Folies gourmandes,Martine RancÃ©,Assistant Sales Agent,Lille,France,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,TourtiÃ¨re,16 pies,7.45,0,Speedy Express
10408,FOLIG,8,1/8/2014,2/5/2014,1/14/2014,1,11.26,62,39.4,35,0,Folies gourmandes,Martine RancÃ©,Assistant Sales Agent,Lille,France,Laura Callahan,Sales Manager,New York,USA,2,3,Confections,"Desserts, candies, and sweet breads",Tarte au sucre,48 pies,49.3,0,Speedy Express
10409,OCEAN,3,1/9/2014,2/6/2014,1/14/2014,1,29.83,14,18.6,12,0,OcÃ©ano AtlÃ¡ntico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Argentina,Janet Leverling,Sales Representative,New York,USA,8,7,Produce,Dried fruit and bean curd,Tofu,40 - 100 g pkgs.,23.25,0,Speedy Express
10409,OCEAN,3,1/9/2014,2/6/2014,1/14/2014,1,29.83,21,8,12,0,OcÃ©ano AtlÃ¡ntico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Argentina,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Scones,24 pkgs. x 4 pieces,10,0,Speedy Express
10410,BOTTM,3,1/10/2014,2/7/2014,1/15/2014,3,2.4,33,2,49,0,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,Federal Shipping
10410,BOTTM,3,1/10/2014,2/7/2014,1/15/2014,3,2.4,59,44,16,0,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Federal Shipping
10411,BOTTM,9,1/10/2014,2/7/2014,1/21/2014,3,23.65,41,7.7,25,0.2,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Anne Dodsworth,Sales Representative,London,UK,5,8,Seafood,Seaweed and fish,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Federal Shipping
10411,BOTTM,9,1/10/2014,2/7/2014,1/21/2014,3,23.65,44,15.5,40,0.2,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Anne Dodsworth,Sales Representative,London,UK,5,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Gula Malacca,20 - 2 kg bags,19.45,0,Federal Shipping
10411,BOTTM,9,1/10/2014,2/7/2014,1/21/2014,3,23.65,59,44,9,0.2,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Anne Dodsworth,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Federal Shipping
10412,WARTH,8,1/13/2014,2/10/2014,1/15/2014,2,3.77,14,18.6,20,0.1,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Laura Callahan,Sales Manager,New York,USA,2,7,Produce,Dried fruit and bean curd,Tofu,40 - 100 g pkgs.,23.25,0,United Package
10413,LAMAI,3,1/14/2014,2/11/2014,1/16/2014,2,95.66,1,14.4,24,0,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chai,10 boxes x 20 bags,18,0,United Package
10413,LAMAI,3,1/14/2014,2/11/2014,1/16/2014,2,95.66,62,39.4,40,0,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Tarte au sucre,48 pies,49.3,0,United Package
10413,LAMAI,3,1/14/2014,2/11/2014,1/16/2014,2,95.66,76,14.4,14,0,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LakkalikÃ¶ri,500 ml,18,0,United Package
10414,FAMIA,2,1/14/2014,2/11/2014,1/17/2014,3,21.48,19,7.3,18,0.05,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil,Andrew Fuller,Vice President Sales,New York,USA,NULL,3,Confections,"Desserts, candies, and sweet breads",Teatime Chocolate Biscuits,10 boxes x 12 pieces,9.2,0,Federal Shipping
10414,FAMIA,2,1/14/2014,2/11/2014,1/17/2014,3,21.48,33,2,50,0,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil,Andrew Fuller,Vice President Sales,New York,USA,NULL,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,Federal Shipping
10415,HUNGC,3,1/15/2014,2/12/2014,1/24/2014,1,0.2,17,31.2,2,0,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA,Janet Leverling,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,Alice Mutton,20 - 1 kg tins,39,1,Speedy Express
10415,HUNGC,3,1/15/2014,2/12/2014,1/24/2014,1,0.2,33,2,20,0,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,Speedy Express
10416,WARTH,8,1/16/2014,2/13/2014,1/27/2014,3,22.72,19,7.3,20,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Laura Callahan,Sales Manager,New York,USA,2,3,Confections,"Desserts, candies, and sweet breads",Teatime Chocolate Biscuits,10 boxes x 12 pieces,9.2,0,Federal Shipping
10416,WARTH,8,1/16/2014,2/13/2014,1/27/2014,3,22.72,53,26.2,10,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,Perth Pasties,48 pieces,32.8,1,Federal Shipping
10416,WARTH,8,1/16/2014,2/13/2014,1/27/2014,3,22.72,57,15.6,20,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Laura Callahan,Sales Manager,New York,USA,2,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Ravioli Angelo,24 - 250 g pkgs.,19.5,0,Federal Shipping
10417,SIMOB,4,1/16/2014,2/13/2014,1/28/2014,3,70.29,38,210.8,50,0,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",CÃ´te de Blaye,12 - 75 cl bottles,263.5,0,Federal Shipping
10417,SIMOB,4,1/16/2014,2/13/2014,1/28/2014,3,70.29,46,9.6,2,0.25,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Spegesild,4 - 450 g glasses,12,0,Federal Shipping
10417,SIMOB,4,1/16/2014,2/13/2014,1/28/2014,3,70.29,68,10,36,0.25,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Scottish Longbreads,10 boxes x 8 pieces,12.5,0,Federal Shipping
10417,SIMOB,4,1/16/2014,2/13/2014,1/28/2014,3,70.29,77,10.4,35,0,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark,Margaret Peacock,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter GrÃ¼ne SoÃŸe,12 boxes,13,0,Federal Shipping
10418,QUICK,4,1/17/2014,2/14/2014,1/24/2014,1,17.55,2,15.2,60,0,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,Speedy Express
10418,QUICK,4,1/17/2014,2/14/2014,1/24/2014,1,17.55,47,7.6,55,0,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Zaanse koeken,10 - 4 oz boxes,9.5,0,Speedy Express
10418,QUICK,4,1/17/2014,2/14/2014,1/24/2014,1,17.55,61,22.8,16,0,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Margaret Peacock,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Sirop d'Ã©rable,24 - 500 ml bottles,28.5,0,Speedy Express
10418,QUICK,4,1/17/2014,2/14/2014,1/24/2014,1,17.55,74,8,15,0,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Margaret Peacock,Sales Representative,New York,USA,8,7,Produce,Dried fruit and bean curd,Longlife Tofu,5 kg pkg.,10,0,Speedy Express
10419,RICSU,4,1/20/2014,2/17/2014,1/30/2014,2,137.35,60,27.2,60,0.05,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Camembert Pierrot,15 - 300 g rounds,34,0,United Package
10419,RICSU,4,1/20/2014,2/17/2014,1/30/2014,2,137.35,69,28.8,20,0.05,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Gudbrandsdalsost,10 kg pkg.,36,0,United Package
10420,WELLI,3,1/21/2014,2/18/2014,1/27/2014,1,44.12,9,77.6,20,0.1,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,Mishi Kobe Niku,18 - 500 g pkgs.,97,1,Speedy Express
10420,WELLI,3,1/21/2014,2/18/2014,1/27/2014,1,44.12,13,4.8,2,0.1,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Konbu,2 kg box,6,0,Speedy Express
10420,WELLI,3,1/21/2014,2/18/2014,1/27/2014,1,44.12,70,12,8,0.1,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Outback Lager,24 - 355 ml bottles,15,0,Speedy Express
10420,WELLI,3,1/21/2014,2/18/2014,1/27/2014,1,44.12,73,12,20,0.1,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,RÃ¶d Kaviar,24 - 150 g jars,15,0,Speedy Express
10421,QUEDE,8,1/21/2014,3/4/2014,1/27/2014,1,99.23,19,7.3,4,0.15,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Laura Callahan,Sales Manager,New York,USA,2,3,Confections,"Desserts, candies, and sweet breads",Teatime Chocolate Biscuits,10 boxes x 12 pieces,9.2,0,Speedy Express
10421,QUEDE,8,1/21/2014,3/4/2014,1/27/2014,1,99.23,26,24.9,30,0,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Laura Callahan,Sales Manager,New York,USA,2,3,Confections,"Desserts, candies, and sweet breads",GumbÃ¤r GummibÃ¤rchen,100 - 250 g bags,31.23,0,Speedy Express
10421,QUEDE,8,1/21/2014,3/4/2014,1/27/2014,1,99.23,53,26.2,15,0.15,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,Perth Pasties,48 pieces,32.8,1,Speedy Express
10421,QUEDE,8,1/21/2014,3/4/2014,1/27/2014,1,99.23,77,10.4,10,0.15,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Laura Callahan,Sales Manager,New York,USA,2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter GrÃ¼ne SoÃŸe,12 boxes,13,0,Speedy Express
10422,FRANS,2,1/22/2014,2/19/2014,1/31/2014,1,3.02,26,24.9,2,0,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Italy,Andrew Fuller,Vice President Sales,New York,USA,NULL,3,Confections,"Desserts, candies, and sweet breads",GumbÃ¤r GummibÃ¤rchen,100 - 250 g bags,31.23,0,Speedy Express
10423,GOURL,6,1/23/2014,2/6/2014,2/24/2014,3,24.5,31,10,14,0,Gourmet Lanchonetes,AndrÃ© Fonseca,Sales Associate,Campinas,Brazil,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Federal Shipping
10423,GOURL,6,1/23/2014,2/6/2014,2/24/2014,3,24.5,59,44,20,0,Gourmet Lanchonetes,AndrÃ© Fonseca,Sales Associate,Campinas,Brazil,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Federal Shipping
10424,MEREP,7,1/23/2014,2/20/2014,1/27/2014,2,370.61,35,14.4,60,0.2,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Robert King,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Steeleye Stout,24 - 12 oz bottles,18,0,United Package
10424,MEREP,7,1/23/2014,2/20/2014,1/27/2014,2,370.61,38,210.8,49,0.2,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Robert King,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",CÃ´te de Blaye,12 - 75 cl bottles,263.5,0,United Package
10424,MEREP,7,1/23/2014,2/20/2014,1/27/2014,2,370.61,68,10,30,0.2,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Robert King,Sales Representative,London,UK,5,3,Confections,"Desserts, candies, and sweet breads",Scottish Longbreads,10 boxes x 8 pieces,12.5,0,United Package
10425,LAMAI,6,1/24/2014,2/21/2014,2/14/2014,2,7.93,55,19.2,10,0.25,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Michael Suyama,Sales Representative,London,UK,5,6,Meat & Poultry,Prepared meats,PÃ¢tÃ© chinois,24 boxes x 2 pies,24,0,United Package
10425,LAMAI,6,1/24/2014,2/21/2014,2/14/2014,2,7.93,76,14.4,20,0.25,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Michael Suyama,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LakkalikÃ¶ri,500 ml,18,0,United Package
10426,GALED,4,1/27/2014,2/24/2014,2/6/2014,1,18.69,56,30.4,5,0,GalerÃ­a del gastrÃ³nomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain,Margaret Peacock,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gnocchi di nonna Alice,24 - 250 g pkgs.,38,0,Speedy Express
10426,GALED,4,1/27/2014,2/24/2014,2/6/2014,1,18.69,64,26.6,7,0,GalerÃ­a del gastrÃ³nomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain,Margaret Peacock,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Wimmers gute SemmelknÃ¶del,20 bags x 4 pieces,33.25,0,Speedy Express
10427,PICCO,4,1/27/2014,2/24/2014,3/3/2014,2,31.29,14,18.6,35,0,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria,Margaret Peacock,Sales Representative,New York,USA,8,7,Produce,Dried fruit and bean curd,Tofu,40 - 100 g pkgs.,23.25,0,United Package
10428,REGGC,7,1/28/2014,2/25/2014,2/4/2014,1,11.09,46,9.6,20,0,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy,Robert King,Sales Representative,London,UK,5,8,Seafood,Seaweed and fish,Spegesild,4 - 450 g glasses,12,0,Speedy Express
10429,HUNGO,3,1/29/2014,3/12/2014,2/7/2014,2,56.63,50,13,40,0,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Ireland,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Valkoinen suklaa,12 - 100 g bars,16.25,0,United Package
10429,HUNGO,3,1/29/2014,3/12/2014,2/7/2014,2,56.63,63,35.1,35,0.25,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Ireland,Janet Leverling,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Vegie-spread,15 - 625 g jars,43.9,0,United Package
10430,ERNSH,4,1/30/2014,2/13/2014,2/3/2014,1,458.78,17,31.2,45,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Margaret Peacock,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,Alice Mutton,20 - 1 kg tins,39,1,Speedy Express
10430,ERNSH,4,1/30/2014,2/13/2014,2/3/2014,1,458.78,21,8,50,0,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Scones,24 pkgs. x 4 pieces,10,0,Speedy Express
10430,ERNSH,4,1/30/2014,2/13/2014,2/3/2014,1,458.78,56,30.4,30,0,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Margaret Peacock,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gnocchi di nonna Alice,24 - 250 g pkgs.,38,0,Speedy Express
10430,ERNSH,4,1/30/2014,2/13/2014,2/3/2014,1,458.78,59,44,70,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Speedy Express
10431,BOTTM,4,1/30/2014,2/13/2014,2/7/2014,2,44.17,17,31.2,50,0.25,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Margaret Peacock,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,Alice Mutton,20 - 1 kg tins,39,1,United Package
10431,BOTTM,4,1/30/2014,2/13/2014,2/7/2014,2,44.17,40,14.7,50,0.25,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Boston Crab Meat,24 - 4 oz tins,18.4,0,United Package
10431,BOTTM,4,1/30/2014,2/13/2014,2/7/2014,2,44.17,47,7.6,30,0.25,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Zaanse koeken,10 - 4 oz boxes,9.5,0,United Package
10432,SPLIR,3,1/31/2014,2/14/2014,2/7/2014,2,4.34,26,24.9,10,0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",GumbÃ¤r GummibÃ¤rchen,100 - 250 g bags,31.23,0,United Package
10432,SPLIR,3,1/31/2014,2/14/2014,2/7/2014,2,4.34,54,5.9,40,0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Janet Leverling,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,TourtiÃ¨re,16 pies,7.45,0,United Package
10433,PRINI,3,2/3/2014,3/3/2014,3/4/2014,3,73.83,56,30.4,28,0,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,Portugal,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gnocchi di nonna Alice,24 - 250 g pkgs.,38,0,Federal Shipping
10434,FOLKO,3,2/3/2014,3/3/2014,2/13/2014,2,17.92,11,16.8,6,0,Folk och fÃ¤ HB,Maria Larsson,Owner,BrÃ¤cke,Sweden,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Queso Cabrales,1 kg pkg.,21,0,United Package
10434,FOLKO,3,2/3/2014,3/3/2014,2/13/2014,2,17.92,76,14.4,18,0.15,Folk och fÃ¤ HB,Maria Larsson,Owner,BrÃ¤cke,Sweden,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LakkalikÃ¶ri,500 ml,18,0,United Package
10435,CONSH,8,2/4/2014,3/18/2014,2/7/2014,2,9.21,2,15.2,10,0,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK,Laura Callahan,Sales Manager,New York,USA,2,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,United Package
10435,CONSH,8,2/4/2014,3/18/2014,2/7/2014,2,9.21,22,16.8,12,0,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK,Laura Callahan,Sales Manager,New York,USA,2,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gustaf's KnackebrÃ¶d,24 - 500 g pkgs.,21,0,United Package
10435,CONSH,8,2/4/2014,3/18/2014,2/7/2014,2,9.21,72,27.8,10,0,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK,Laura Callahan,Sales Manager,New York,USA,2,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,United Package
10436,BLONP,3,2/5/2014,3/5/2014,2/11/2014,2,156.66,46,9.6,5,0,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Janet Leverling,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Spegesild,4 - 450 g glasses,12,0,United Package
10436,BLONP,3,2/5/2014,3/5/2014,2/11/2014,2,156.66,56,30.4,40,0.1,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gnocchi di nonna Alice,24 - 250 g pkgs.,38,0,United Package
10436,BLONP,3,2/5/2014,3/5/2014,2/11/2014,2,156.66,64,26.6,30,0.1,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Wimmers gute SemmelknÃ¶del,20 bags x 4 pieces,33.25,0,United Package
10436,BLONP,3,2/5/2014,3/5/2014,2/11/2014,2,156.66,75,6.2,24,0.1,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",RhÃ¶nbrÃ¤u Klosterbier,24 - 0.5 l bottles,7.75,0,United Package
10437,WARTH,8,2/5/2014,3/5/2014,2/12/2014,1,19.97,53,26.2,15,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,Perth Pasties,48 pieces,32.8,1,Speedy Express
10438,TOMSP,3,2/6/2014,3/6/2014,2/14/2014,2,8.24,19,7.3,15,0.2,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,MÃ¼nster,Germany,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Teatime Chocolate Biscuits,10 boxes x 12 pieces,9.2,0,United Package
10438,TOMSP,3,2/6/2014,3/6/2014,2/14/2014,2,8.24,34,11.2,20,0.2,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,MÃ¼nster,Germany,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Sasquatch Ale,24 - 12 oz bottles,14,0,United Package
10438,TOMSP,3,2/6/2014,3/6/2014,2/14/2014,2,8.24,57,15.6,15,0.2,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,MÃ¼nster,Germany,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Ravioli Angelo,24 - 250 g pkgs.,19.5,0,United Package
10439,MEREP,6,2/7/2014,3/7/2014,2/10/2014,3,4.07,12,30.4,15,0,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Queso Manchego La Pastora,10 - 500 g pkgs.,38,0,Federal Shipping
10439,MEREP,6,2/7/2014,3/7/2014,2/10/2014,3,4.07,16,13.9,16,0,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Michael Suyama,Sales Representative,London,UK,5,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Federal Shipping
10439,MEREP,6,2/7/2014,3/7/2014,2/10/2014,3,4.07,64,26.6,6,0,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Michael Suyama,Sales Representative,London,UK,5,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Wimmers gute SemmelknÃ¶del,20 bags x 4 pieces,33.25,0,Federal Shipping
10439,MEREP,6,2/7/2014,3/7/2014,2/10/2014,3,4.07,74,8,30,0,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,MontrÃ©al,Canada,Michael Suyama,Sales Representative,London,UK,5,7,Produce,Dried fruit and bean curd,Longlife Tofu,5 kg pkg.,10,0,Federal Shipping
10440,SAVEA,4,2/10/2014,3/10/2014,2/28/2014,2,86.53,2,15.2,45,0.15,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,United Package
10440,SAVEA,4,2/10/2014,3/10/2014,2/28/2014,2,86.53,16,13.9,49,0.15,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,United Package
